,repository_name,language,owner
129,supply-chain-simulation-environment,Python,amzn
130,tiny-attribution-generator,TypeScript,amzn
131,trans-encoder,Python,amzn
132,user-satisfaction-modeling,Python,amzn
133,workspace-resolver,JavaScript,amzn
134,xfer,Python,amzn
135,zeek-plugin-bacnet,Zeek,amzn
136,zeek-plugin-enip,Zeek,amzn
137,zeek-plugin-profinet,Zeek,amzn
138,zeek-plugin-s7comm,Zeek,amzn
139,zeek-plugin-tds,Zeek,amzn
140,zero-shot-rlhr,Python,amzn
